,Column Labels,,,,,,,,,,,,,,,,,,,21494.66667,40.00290958,4.937382115,,,,,RAM,RAM,RAM,Path Cost,Path Cost,Path Cost,Max Depth,Max Depth,Max Depth,Search Depth,Search Depth,Search Depth,Expanded Nodes,Expanded Nodes,Expanded Nodes
,Run Time,,,Path Cost,,,Max Depth,,,Search Depth,,,Expanded Nodes,,,RAM,,,,8103.666667,47.13163519,4.863846145,Starting Grid,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS
Row Labels,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,,14853.33333,32.03324485,3.489631066,45812763,109.0007615,7.530999899,3.476967335,0.536712646,8.075897217,4.333206177,28,28,64428,28,29,64438,28,28,64428,8873,179427,85402
61542783,0.2690,2.2840,2.0215,20,20,"44,126",20,21,"44,126",20,20,"44,126",328,"52,997","48,727",0.03,2.14,2.25,,21948,6.124451717,0.813784849,78642153,13.12199974,6.86861372,3.234711647,0.137672424,4.190200806,4.310043335,26,26,57914,26,27,57914,26,26,57914,2621,162092,69509
62158743,0.0620,0.9530,2.3670,18,18,"49,018",18,19,"49,018",18,18,"49,018",144,"19,201","55,363",0.01,2.08,4.27,,22050.66667,5.893420537,0.792713489,264813705,8.557999134,6.113523722,4.521001101,0.134994507,4.198760986,4.338241577,25,25,64581,25,26,66123,25,25,64581,2094,144702,107649
62738145,2.1330,3.8246,2.6780,22,22,"53,428",22,23,"53,428",22,22,"53,428","1,040","92,654","62,151",0.13,4.19,4.29,,17687.33333,8.394422452,0.790607968,541267830,7.360141516,6.966212988,4.047000647,0.139266968,4.190200806,4.338241577,26,26,65792,26,27,66126,26,26,65792,2896,161023,102230
62874153,1.2910,5.4580,2.3360,24,24,"50,832",24,25,"50,832",24,24,"50,832",821,"138,316","58,101",0.04,4.19,4.28,,20060,7.023769061,0.790443586,470618253,6.929776907,6.888483286,3.862001419,0.136253357,8.075897217,4.337738037,26,26,66100,26,27,66150,26,26,66100,2389,166939,93234
63287154,3.4470,6.6262,4.2230,26,26,"64,280",26,27,"65,982",26,26,"64,280","1,486","162,365","108,200",0.13,4.19,4.34,,20726.66667,6.442297538,0.766312394,875631042,16.16100073,6.483752966,2.53851366,0.139266968,4.190200806,4.289901733,26,26,53010,26,27,53010,26,26,53010,2879,158004,61452
63512847,2.6281,4.9181,4.9220,24,24,"58,340",24,25,"65,982",24,24,"58,340","1,378","124,515","122,042",0.13,4.19,4.34,,17857.33333,8.081292391,0.764232653,217685430,11.32579517,5.240512371,4.504999638,0.136253357,4.190200806,4.338241577,24,24,60132,24,25,66126,24,24,60132,2323,130670,118574
63745821,0.0930,3.5909,1.9040,22,22,"42,260",22,23,"42,260",22,22,"42,260",262,"86,813","46,270",0.03,4.19,2.24,,15657,9.339504083,0.762804272,517408263,8.680891991,7.112000227,3.534000397,0.139266968,8.088485718,4.325149536,26,26,62128,26,27,62128,26,26,62128,2969,172593,78629
64283571,0.5940,5.8086,0.5700,24,24,"13,288",24,25,"13,288",24,24,"13,288",491,"140,087","13,667",0.03,4.19,2.08,,21277.66667,5.868597428,0.734946179,680731245,12.61908031,6.669286013,4.955510855,0.139266968,8.075897217,4.338745117,26,26,53520,26,27,66488,26,26,53520,2876,166466,130206
67248351,17.7985,6.3000,0.8440,26,26,"20,342",26,27,"20,343",26,26,"20,342","2,979","156,364","21,091",0.14,4.19,2.12,,21101,5.847477277,0.719848855,513062874,16.64999914,6.020513058,5.34800005,0.137672424,4.198760986,4.338745117,25,25,46921,25,26,66056,25,25,46921,2915,145724,138687
67532418,0.7410,2.8970,4.2995,22,22,"65,668",22,23,"65,724",22,22,"65,668",613,"71,984","93,061",0.03,4.19,4.34,,21715.66667,5.459903399,0.715820857,812650473,8.109316111,4.918961763,4.57751441,0.137672424,4.198760986,4.338241577,25,23,63785,25,24,66125,25,23,63785,2921,121440,110326
